Site_ID,eNodeB_CI,quadkey20,Site_Sector,Site_Sector3_Type,geometry
PPN546,485546_12,485546_12,PPN546_1,PPN546_1_M,"POLYGON ((100.7973 1.1327, 100.798062 1.133462, 100.798155 1.133356, 100.798234 1.133239, 100.798296 1.133113, 100.798341 1.132979, 100.7973 1.1327))"
TAK654,50654_12,50654_12,TAK654_1,TAK654_1_M,"POLYGON ((101.29365 -0.09834, 101.294724 -0.098434, 101.294702 -0.098573, 101.294663 -0.098709, 101.294606 -0.098838, 101.294533 -0.098958, 101.29365 -0.09834))"
PKR547,52547_12,52547_12,PKR547_1,PKR547_1_M,"POLYGON ((102.3056 0.14869, 102.306139 0.149624, 102.306256 0.149545, 102.306362 0.149452, 102.306455 0.149346, 102.306534 0.149229, 102.3056 0.14869))"
TPI638,58638_12,58638_12,TPI638_1,TPI638_1_M,"POLYGON ((104.23272 1.10107, 104.232999 1.102111, 104.233133 1.102066, 104.233259 1.102004, 104.233376 1.101925, 104.233482 1.101832, 104.23272 1.10107))"
PPN221,54221_12,54221_12,PPN221_1,PPN221_1_M,"POLYGON ((100.63033 0.84772, 100.630609 0.848761, 100.630743 0.848716, 100.630869 0.848654, 100.630986 0.848575, 100.631092 0.848482, 100.63033 0.84772))"
SSI539,486539_12,486539_12,SSI539_1,SSI539_1_M,"POLYGON ((101.86465 0.64268, 101.864371 0.643721, 101.864509 0.643749, 101.86465 0.643758, 101.864791 0.643749, 101.864929 0.643721, 101.86465 0.64268))"
BKG085,49085_12,49085_12,BKG085_1,BKG085_1_M,"POLYGON ((100.96643 0.32446, 100.966799 0.325473, 100.966928 0.325416, 100.967048 0.325343, 100.967158 0.325255, 100.967256 0.325153, 100.96643 0.32446))"
BKG093,49093_12,49093_12,BKG093_1,BKG093_1_M,"POLYGON ((101.25049 0.76718, 101.251531 0.766901, 101.251486 0.766767, 101.251424 0.766641, 101.251345 0.766524, 101.251252 0.766418, 101.25049 0.76718))"
BKG207,49207_12,49207_12,BKG207_1,BKG207_1_M,"POLYGON ((101.20543 0.02152, 101.205524 0.022594, 101.205663 0.022572, 101.205799 0.022533, 101.205928 0.022476, 101.206048 0.022403, 101.20543 0.02152))"
BKG242,479242_12,479242_12,BKG242_1,BKG242_1_M,"POLYGON ((100.52431 0.51766, 100.524928 0.516777, 100.524808 0.516704, 100.524679 0.516647, 100.524543 0.516608, 100.524404 0.516586, 100.52431 0.51766))"
BKG673,479673_12,479673_12,BKG673_1,BKG673_1_M,"POLYGON ((101.36949 -0.06525, 101.369769 -0.066291, 101.369631 -0.066319, 101.36949 -0.066328, 101.369349 -0.066319, 101.369211 -0.066291, 101.36949 -0.06525))"
BKG699,479699_12,479699_12,BKG699_1,BKG699_1_M,"POLYGON ((100.67637 0.71165, 100.676276 0.712724, 100.676417 0.712727, 100.676557 0.712712, 100.676694 0.712678, 100.676826 0.712627, 100.67637 0.71165))"
PKR542,482542_12,482542_12,PKR542_1,PKR542_1_M,"POLYGON ((102.28181 0.28142, 102.282572 0.282182, 102.282665 0.282076, 102.282744 0.281959, 102.282806 0.281833, 102.282851 0.281699, 102.28181 0.28142))"
TAK138,480138_12,480138_12,TAK138_1,TAK138_1_M,"POLYGON ((101.89677 -0.5021, 101.897747 -0.501644, 101.897798 -0.501776, 101.897832 -0.501913, 101.897847 -0.502053, 101.897844 -0.502194, 101.89677 -0.5021))"
LSK082,70082_12,70082_12,LSK082_1,LSK082_1_M,"POLYGON ((99.95047 0.25401, 99.951511 0.254289, 99.951539 0.254151, 99.951548 0.25401, 99.951539 0.253869, 99.951511 0.253731, 99.95047 0.25401))"
PPN148,54148_12,54148_12,PPN148_1,PPN148_1_M,"POLYGON ((100.51905 0.76305, 100.520091 0.762771, 100.520046 0.762637, 100.519984 0.762511, 100.519905 0.762394, 100.519812 0.762288, 100.51905 0.76305))"
TBK103,57103_12,57103_12,TBK103_1,TBK103_1_M,"POLYGON ((103.44472 0.74707, 103.445338 0.747953, 103.445448 0.747865, 103.445546 0.747763, 103.445629 0.747649, 103.445697 0.747526, 103.44472 0.74707))"
LSK183,70183_12,70183_12,LSK183_1,LSK183_1_M,"POLYGON ((100.21932 -0.01942, 100.219041 -0.018379, 100.219179 -0.018351, 100.21932 -0.018342, 100.219461 -0.018351, 100.219599 -0.018379, 100.21932 -0.01942))"
LSK073,70073_12,70073_12,LSK073_1,LSK073_1_M,"POLYGON ((99.93459 -0.09927, 99.935631 -0.098991, 99.935659 -0.099129, 99.935668 -0.09927, 99.935659 -0.099411, 99.935631 -0.099549, 99.93459 -0.09927))"
PNN081,72081_12,72081_12,PNN081_1,PNN081_1_M,"POLYGON ((100.59003 -1.27478, 100.590723 -1.273954, 100.590825 -1.274052, 100.590913 -1.274162, 100.590986 -1.274282, 100.591043 -1.274411, 100.59003 -1.27478))"
UJT519,53519_12,53519_12,UJT519_1,UJT519_1_M,"POLYGON ((100.40067 1.69082, 100.400764 1.691894, 100.400903 1.691872, 100.401039 1.691833, 100.401168 1.691776, 100.401288 1.691703, 100.40067 1.69082))"
TBH115,47115_12,47115_12,TBH115_1,TBH115_1_M,"POLYGON ((103.04622 -0.12519, 103.046499 -0.124149, 103.046633 -0.124194, 103.046759 -0.124256, 103.046876 -0.124335, 103.046982 -0.124428, 103.04622 -0.12519))"
SLK188,75188_12,75188_12,SLK188_1,SLK188_1_M,"POLYGON ((100.88323 -1.24966, 100.884207 -1.250116, 100.884139 -1.250239, 100.884056 -1.250353, 100.883958 -1.250455, 100.883848 -1.250543, 100.88323 -1.24966))"
PKR105,52105_12,52105_12,PKR105_1,PKR105_1_M,"POLYGON ((101.78958 0.51561, 101.78958 0.516688, 101.789721 0.516679, 101.789859 0.516651, 101.789993 0.516606, 101.790119 0.516544, 101.78958 0.51561))"
DUM268,46268_12,46268_12,DUM268_1,DUM268_1_M,"POLYGON ((101.35377 1.76332, 101.353864 1.764394, 101.354003 1.764372, 101.354139 1.764333, 101.354268 1.764276, 101.354388 1.764203, 101.35377 1.76332))"
MSJ191,73191_12,73191_12,MSJ191_1,MSJ191_1_M,"POLYGON ((101.36712 -0.8882, 101.366933 -0.887138, 101.367073 -0.887123, 101.367214 -0.887126, 101.367353 -0.887148, 101.367489 -0.887187, 101.36712 -0.8882))"
PKR122,52122_12,52122_12,PKR122_1,PKR122_1_M,"POLYGON ((102.94867 0.29573, 102.949432 0.296492, 102.949525 0.296386, 102.949604 0.296269, 102.949666 0.296143, 102.949711 0.296009, 102.94867 0.29573))"
TPI249,58249_12,58249_12,TPI249_1,TPI249_1_M,"POLYGON ((104.55958 -0.49138, 104.560342 -0.490618, 104.560435 -0.490724, 104.560514 -0.490841, 104.560576 -0.490967, 104.560621 -0.491101, 104.55958 -0.49138))"
BSK190,76190_12,76190_12,BSK190_1,BSK190_1_M,"POLYGON ((100.73644 -0.41853, 100.737266 -0.419223, 100.737168 -0.419325, 100.737058 -0.419413, 100.736938 -0.419486, 100.736809 -0.419543, 100.73644 -0.41853))"
PPN109,54109_12,54109_12,PPN109_1,PPN109_1_M,"POLYGON ((100.49065 0.75228, 100.490929 0.753321, 100.491063 0.753276, 100.491189 0.753214, 100.491306 0.753135, 100.491412 0.753042, 100.49065 0.75228))"
PAR523,69523_12,69523_12,PAR523_1,PAR523_1_M,"POLYGON ((100.18344 -0.6961, 100.183896 -0.695123, 100.184019 -0.695191, 100.184133 -0.695274, 100.184235 -0.695372, 100.184323 -0.695482, 100.18344 -0.6961))"
TPI626,58626_12,58626_12,TPI626_1,TPI626_1_M,"POLYGON ((104.61103 0.99289, 104.611309 0.993931, 104.611443 0.993886, 104.611569 0.993824, 104.611686 0.993745, 104.611792 0.993652, 104.61103 0.99289))"
PKR584,52584_12,52584_12,PKR584_1,PKR584_1_M,"POLYGON ((103.26279 0.53349, 103.262511 0.534531, 103.262649 0.534559, 103.26279 0.534568, 103.262931 0.534559, 103.263069 0.534531, 103.26279 0.53349))"
BLS606,471606_12,471606_12,BLS606_1,BLS606_1_M,"POLYGON ((101.5179 0.72343, 101.518518 0.724313, 101.518628 0.724225, 101.518726 0.724123, 101.518809 0.724009, 101.518877 0.723886, 101.5179 0.72343))"
PPN609,485609_12,485609_12,PPN609_1,PPN609_1_M,"POLYGON ((100.27491 1.00214, 100.275887 1.002596, 100.275938 1.002464, 100.275972 1.002327, 100.275987 1.002187, 100.275984 1.002046, 100.27491 1.00214))"
LBB033,64033_12,64033_12,LBB033_1,LBB033_1_M,"POLYGON ((100.03056 -0.3172, 100.030929 -0.316187, 100.031058 -0.316244, 100.031178 -0.316317, 100.031288 -0.316405, 100.031386 -0.316507, 100.03056 -0.3172))"
BLS517,45517_12,45517_12,BLS517_1,BLS517_1_M,"POLYGON ((101.17759 1.32005, 101.178208 1.320933, 101.178318 1.320845, 101.178416 1.320743, 101.178499 1.320629, 101.178567 1.320506, 101.17759 1.32005))"
BSK210,76210_12,76210_12,BSK210_1,BSK210_1_M,"POLYGON ((100.56679 -0.41347, 100.567329 -0.412536, 100.567446 -0.412615, 100.567552 -0.412708, 100.567645 -0.412814, 100.567724 -0.412931, 100.56679 -0.41347))"
LBB114,64114_12,64114_12,LBB114_1,LBB114_1_M,"POLYGON ((100.22556 -0.33758, 100.226322 -0.338342, 100.226216 -0.338435, 100.226099 -0.338514, 100.225973 -0.338576, 100.225839 -0.338621, 100.22556 -0.33758))"
